Gene stable ID version,Transcript stable ID version,Strand,Exon region start (bp),Exon region end (bp),Chromosome/scaffold name
ENSG00000286057.1,ENST00000652328.1,+,8238859,8239092,21
ENSG00000286146.1,ENST00000652246.1,+,8420675,8421003,21
ENSG00000278678.1,ENST00000616920.1,+,10576292,10576587,21
ENSG00000279647.1,ENST00000624595.1,-,7388670,7388799,21
ENSG00000279647.1,ENST00000624595.1,-,7388391,7388481,21
ENSG00000279647.1,ENST00000624595.1,-,7388130,7388259,21
ENSG00000279647.1,ENST00000624595.1,-,7387506,7387638,21
ENSG00000279647.1,ENST00000624595.1,-,7387197,7387299,21
ENSG00000279647.1,ENST00000624595.1,-,7386420,7386510,21
ENSG00000279647.1,ENST00000624595.1,-,7386240,7386294,21
ENSG00000279647.1,ENST00000624595.1,-,7385229,7385289,21
ENSG00000279647.1,ENST00000624595.1,-,7385058,7385142,21
ENSG00000280372.1,ENST00000624662.1,-,10028361,10029855,21
ENSG00000179381.8,ENST00000431829.2,-,13544210,13545185,21
ENSG00000286148.1,ENST00000651888.1,+,8468320,8468631,21
ENSG00000279477.1,ENST00000623518.1,-,7006881,7007022,21
ENSG00000279477.1,ENST00000623518.1,-,7006611,7006701,21
ENSG00000279477.1,ENST00000623518.1,-,7006380,7006494,21
ENSG00000279477.1,ENST00000623518.1,-,7005726,7005858,21
ENSG00000279477.1,ENST00000623518.1,-,7005411,7005522,21
ENSG00000279477.1,ENST00000623518.1,-,7004640,7004730,21
ENSG00000279477.1,ENST00000623518.1,-,7004463,7004517,21
ENSG00000279477.1,ENST00000623518.1,-,7003443,7003509,21
ENSG00000279477.1,ENST00000623518.1,-,7003248,7003365,21
ENSG00000279303.1,ENST00000623962.1,-,7135334,7137789,21
ENSG00000280614.1,ENST00000625598.1,-,8393419,8394341,21
ENSG00000280330.1,ENST00000624153.1,+,7129103,7130287,21
ENSG00000234159.1,ENST00000433427.1,-,15744892,15745080,21
ENSG00000234159.1,ENST00000433427.1,-,15744004,15744316,21
ENSG00000229336.1,ENST00000282964.5,+,19739709,19740150,21
